EB/N0 = 0.680000, BER = 0.000000, FER = 0.000000, CW = 1, ErrorFrames = 0
EB/N0 = 0.680000, BER = 0.000000, FER = 0.000000, CW = 2, ErrorFrames = 0
EB/N0 = 0.680000, BER = 0.000000, FER = 0.000000, CW = 3, ErrorFrames = 0
EB/N0 = 0.680000, BER = 0.000000, FER = 0.000000, CW = 4, ErrorFrames = 0
EB/N0 = 0.680000, BER = 0.000000, FER = 0.000000, CW = 5, ErrorFrames = 0
EB/N0 = 0.680000, BER = 0.000000, FER = 0.000000, CW = 6, ErrorFrames = 0
EB/N0 = 0.680000, BER = 0.000000, FER = 0.000000, CW = 7, ErrorFrames = 0
EB/N0 = 0.680000, BER = 0.000000, FER = 0.000000, CW = 8, ErrorFrames = 0
EB/N0 = 0.680000, BER = 0.000000, FER = 0.000000, CW = 9, ErrorFrames = 0
EB/N0 = 0.680000, BER = 0.000000, FER = 0.000000, CW = 10, ErrorFrames = 0
EB/N0 = 0.680000, BER = 0.000000, FER = 0.000000, CW = 11, ErrorFrames = 0
EB/N0 = 0.680000, BER = 0.000000, FER = 0.000000, CW = 12, ErrorFrames = 0
EB/N0 = 0.680000, BER = 0.000000, FER = 0.000000, CW = 13, ErrorFrames = 0
EB/N0 = 0.680000, BER = 0.000000, FER = 0.000000, CW = 14, ErrorFrames = 0
EB/N0 = 0.680000, BER = 0.000000, FER = 0.000000, CW = 15, ErrorFrames = 0
EB/N0 = 0.680000, BER = 0.000000, FER = 0.000000, CW = 16, ErrorFrames = 0
EB/N0 = 0.680000, BER = 0.000000, FER = 0.000000, CW = 17, ErrorFrames = 0
EB/N0 = 0.680000, BER = 0.000000, FER = 0.000000, CW = 18, ErrorFrames = 0
EB/N0 = 0.680000, BER = 0.000000, FER = 0.000000, CW = 19, ErrorFrames = 0
EB/N0 = 0.680000, BER = 0.000000, FER = 0.000000, CW = 20, ErrorFrames = 0
EB/N0 = 0.680000, BER = 0.000000, FER = 0.000000, CW = 21, ErrorFrames = 0
EB/N0 = 0.680000, BER = 0.000000, FER = 0.000000, CW = 22, ErrorFrames = 0
EB/N0 = 0.680000, BER = 0.000000, FER = 0.000000, CW = 23, ErrorFrames = 0
EB/N0 = 0.680000, BER = 0.000000, FER = 0.000000, CW = 24, ErrorFrames = 0
