EB/N0 = 0.640000, BER = 0.000000, FER = 0.000000, CW = 1, ErrorFrames = 0
EB/N0 = 0.640000, BER = 0.000000, FER = 0.000000, CW = 2, ErrorFrames = 0
EB/N0 = 0.640000, BER = 3.000000, FER = 0.333333, CW = 3, ErrorFrames = 1
EB/N0 = 0.640000, BER = 3.000000, FER = 0.250000, CW = 4, ErrorFrames = 1
EB/N0 = 0.640000, BER = 3.000000, FER = 0.200000, CW = 5, ErrorFrames = 1
EB/N0 = 0.640000, BER = 3.000000, FER = 0.166667, CW = 6, ErrorFrames = 1
EB/N0 = 0.640000, BER = 3.000000, FER = 0.142857, CW = 7, ErrorFrames = 1
EB/N0 = 0.640000, BER = 3.000000, FER = 0.125000, CW = 8, ErrorFrames = 1
EB/N0 = 0.640000, BER = 3.000000, FER = 0.111111, CW = 9, ErrorFrames = 1
EB/N0 = 0.640000, BER = 3.000000, FER = 0.100000, CW = 10, ErrorFrames = 1
EB/N0 = 0.640000, BER = 3.000000, FER = 0.090909, CW = 11, ErrorFrames = 1
EB/N0 = 0.640000, BER = 3.000000, FER = 0.083333, CW = 12, ErrorFrames = 1
EB/N0 = 0.640000, BER = 3.000000, FER = 0.076923, CW = 13, ErrorFrames = 1
EB/N0 = 0.640000, BER = 3.000000, FER = 0.071429, CW = 14, ErrorFrames = 1
EB/N0 = 0.640000, BER = 3.000000, FER = 0.066667, CW = 15, ErrorFrames = 1
EB/N0 = 0.640000, BER = 3.000000, FER = 0.062500, CW = 16, ErrorFrames = 1
EB/N0 = 0.640000, BER = 3.000000, FER = 0.058824, CW = 17, ErrorFrames = 1
EB/N0 = 0.640000, BER = 1400.000000, FER = 0.111111, CW = 18, ErrorFrames = 2
EB/N0 = 0.640000, BER = 1400.000000, FER = 0.105263, CW = 19, ErrorFrames = 2
EB/N0 = 0.640000, BER = 1400.000000, FER = 0.100000, CW = 20, ErrorFrames = 2
EB/N0 = 0.640000, BER = 1400.000000, FER = 0.095238, CW = 21, ErrorFrames = 2
EB/N0 = 0.640000, BER = 1400.000000, FER = 0.090909, CW = 22, ErrorFrames = 2
EB/N0 = 0.640000, BER = 5392.000000, FER = 0.130435, CW = 23, ErrorFrames = 3
EB/N0 = 0.640000, BER = 5392.000000, FER = 0.125000, CW = 24, ErrorFrames = 3
EB/N0 = 0.640000, BER = 5392.000000, FER = 0.120000, CW = 25, ErrorFrames = 3
EB/N0 = 0.640000, BER = 5392.000000, FER = 0.115385, CW = 26, ErrorFrames = 3
EB/N0 = 0.640000, BER = 11383.000000, FER = 0.148148, CW = 27, ErrorFrames = 4
EB/N0 = 0.640000, BER = 11383.000000, FER = 0.142857, CW = 28, ErrorFrames = 4
EB/N0 = 0.640000, BER = 11383.000000, FER = 0.137931, CW = 29, ErrorFrames = 4
EB/N0 = 0.640000, BER = 11383.000000, FER = 0.133333, CW = 30, ErrorFrames = 4
EB/N0 = 0.640000, BER = 11383.000000, FER = 0.129032, CW = 31, ErrorFrames = 4
EB/N0 = 0.640000, BER = 11383.000000, FER = 0.125000, CW = 32, ErrorFrames = 4
EB/N0 = 0.640000, BER = 11383.000000, FER = 0.121212, CW = 33, ErrorFrames = 4
EB/N0 = 0.640000, BER = 11383.000000, FER = 0.117647, CW = 34, ErrorFrames = 4
EB/N0 = 0.640000, BER = 11383.000000, FER = 0.114286, CW = 35, ErrorFrames = 4
EB/N0 = 0.640000, BER = 11383.000000, FER = 0.111111, CW = 36, ErrorFrames = 4
EB/N0 = 0.640000, BER = 11383.000000, FER = 0.108108, CW = 37, ErrorFrames = 4
EB/N0 = 0.640000, BER = 11383.000000, FER = 0.105263, CW = 38, ErrorFrames = 4
EB/N0 = 0.640000, BER = 11383.000000, FER = 0.102564, CW = 39, ErrorFrames = 4
EB/N0 = 0.640000, BER = 11383.000000, FER = 0.100000, CW = 40, ErrorFrames = 4
EB/N0 = 0.640000, BER = 11383.000000, FER = 0.097561, CW = 41, ErrorFrames = 4
EB/N0 = 0.640000, BER = 11383.000000, FER = 0.095238, CW = 42, ErrorFrames = 4
EB/N0 = 0.640000, BER = 11383.000000, FER = 0.093023, CW = 43, ErrorFrames = 4
EB/N0 = 0.640000, BER = 11383.000000, FER = 0.090909, CW = 44, ErrorFrames = 4
EB/N0 = 0.640000, BER = 11383.000000, FER = 0.088889, CW = 45, ErrorFrames = 4
EB/N0 = 0.640000, BER = 15577.000000, FER = 0.108696, CW = 46, ErrorFrames = 5
EB/N0 = 0.640000, BER = 15577.000000, FER = 0.106383, CW = 47, ErrorFrames = 5
EB/N0 = 0.640000, BER = 15577.000000, FER = 0.104167, CW = 48, ErrorFrames = 5
EB/N0 = 0.640000, BER = 15577.000000, FER = 0.102041, CW = 49, ErrorFrames = 5
EB/N0 = 0.640000, BER = 15577.000000, FER = 0.100000, CW = 50, ErrorFrames = 5
EB/N0 = 0.640000, BER = 15577.000000, FER = 0.098039, CW = 51, ErrorFrames = 5
