EB/N0 = 0.950000, BER = 0.000000, FER = 0.000000, CW = 67, ErrorFrames = 0
EB/N0 = 0.950000, BER = 0.000000, FER = 0.000000, CW = 68, ErrorFrames = 0
EB/N0 = 0.950000, BER = 0.000000, FER = 0.000000, CW = 69, ErrorFrames = 0
EB/N0 = 0.950000, BER = 0.000000, FER = 0.000000, CW = 70, ErrorFrames = 0
EB/N0 = 0.950000, BER = 0.000000, FER = 0.000000, CW = 71, ErrorFrames = 0
EB/N0 = 0.950000, BER = 0.000000, FER = 0.000000, CW = 72, ErrorFrames = 0
EB/N0 = 0.950000, BER = 0.000000, FER = 0.000000, CW = 73, ErrorFrames = 0
EB/N0 = 0.950000, BER = 0.000000, FER = 0.000000, CW = 74, ErrorFrames = 0
EB/N0 = 0.950000, BER = 0.000000, FER = 0.000000, CW = 75, ErrorFrames = 0
EB/N0 = 0.950000, BER = 0.000000, FER = 0.000000, CW = 76, ErrorFrames = 0
EB/N0 = 0.950000, BER = 0.000000, FER = 0.000000, CW = 77, ErrorFrames = 0
EB/N0 = 0.950000, BER = 0.000000, FER = 0.000000, CW = 78, ErrorFrames = 0
EB/N0 = 0.950000, BER = 0.000000, FER = 0.000000, CW = 79, ErrorFrames = 0
EB/N0 = 0.950000, BER = 0.000000, FER = 0.000000, CW = 80, ErrorFrames = 0
EB/N0 = 0.950000, BER = 0.000000, FER = 0.000000, CW = 81, ErrorFrames = 0
EB/N0 = 0.950000, BER = 0.000000, FER = 0.000000, CW = 82, ErrorFrames = 0
EB/N0 = 0.950000, BER = 0.000000, FER = 0.000000, CW = 83, ErrorFrames = 0
EB/N0 = 0.950000, BER = 0.000000, FER = 0.000000, CW = 84, ErrorFrames = 0
EB/N0 = 0.950000, BER = 0.000000, FER = 0.000000, CW = 85, ErrorFrames = 0
EB/N0 = 0.950000, BER = 0.000000, FER = 0.000000, CW = 86, ErrorFrames = 0
EB/N0 = 0.950000, BER = 0.000000, FER = 0.000000, CW = 87, ErrorFrames = 0
EB/N0 = 0.950000, BER = 0.000000, FER = 0.000000, CW = 88, ErrorFrames = 0
EB/N0 = 0.950000, BER = 0.000000, FER = 0.000000, CW = 89, ErrorFrames = 0
EB/N0 = 0.950000, BER = 0.000000, FER = 0.000000, CW = 90, ErrorFrames = 0
EB/N0 = 0.950000, BER = 0.000000, FER = 0.000000, CW = 91, ErrorFrames = 0
EB/N0 = 0.950000, BER = 0.000000, FER = 0.000000, CW = 92, ErrorFrames = 0
EB/N0 = 0.950000, BER = 0.000000, FER = 0.000000, CW = 93, ErrorFrames = 0
EB/N0 = 0.950000, BER = 0.000000, FER = 0.000000, CW = 94, ErrorFrames = 0
EB/N0 = 0.950000, BER = 0.000000, FER = 0.000000, CW = 95, ErrorFrames = 0
EB/N0 = 0.950000, BER = 0.000000, FER = 0.000000, CW = 96, ErrorFrames = 0
EB/N0 = 0.950000, BER = 0.000000, FER = 0.000000, CW = 97, ErrorFrames = 0
EB/N0 = 0.950000, BER = 0.000000, FER = 0.000000, CW = 98, ErrorFrames = 0
EB/N0 = 0.950000, BER = 0.000000, FER = 0.000000, CW = 99, ErrorFrames = 0
EB/N0 = 0.950000, BER = 0.000000, FER = 0.000000, CW = 100, ErrorFrames = 0
EB/N0 = 0.950000, BER = 0.000000, FER = 0.000000, CW = 101, ErrorFrames = 0
EB/N0 = 0.950000, BER = 0.000000, FER = 0.000000, CW = 102, ErrorFrames = 0
EB/N0 = 0.950000, BER = 0.000000, FER = 0.000000, CW = 103, ErrorFrames = 0
EB/N0 = 0.950000, BER = 0.000000, FER = 0.000000, CW = 104, ErrorFrames = 0
EB/N0 = 0.950000, BER = 0.000000, FER = 0.000000, CW = 105, ErrorFrames = 0
EB/N0 = 0.950000, BER = 0.000000, FER = 0.000000, CW = 106, ErrorFrames = 0
EB/N0 = 0.950000, BER = 0.000000, FER = 0.000000, CW = 107, ErrorFrames = 0
EB/N0 = 0.950000, BER = 0.000000, FER = 0.000000, CW = 108, ErrorFrames = 0
EB/N0 = 0.950000, BER = 0.000000, FER = 0.000000, CW = 109, ErrorFrames = 0
EB/N0 = 0.950000, BER = 0.000000, FER = 0.000000, CW = 110, ErrorFrames = 0
EB/N0 = 0.950000, BER = 0.000000, FER = 0.000000, CW = 111, ErrorFrames = 0
EB/N0 = 0.950000, BER = 0.000000, FER = 0.000000, CW = 112, ErrorFrames = 0
EB/N0 = 0.950000, BER = 0.000000, FER = 0.000000, CW = 113, ErrorFrames = 0
EB/N0 = 0.950000, BER = 0.000000, FER = 0.000000, CW = 114, ErrorFrames = 0
EB/N0 = 0.950000, BER = 0.000000, FER = 0.000000, CW = 115, ErrorFrames = 0
EB/N0 = 0.950000, BER = 0.000000, FER = 0.000000, CW = 116, ErrorFrames = 0
EB/N0 = 0.950000, BER = 0.000000, FER = 0.000000, CW = 117, ErrorFrames = 0
EB/N0 = 0.950000, BER = 0.000000, FER = 0.000000, CW = 118, ErrorFrames = 0
EB/N0 = 0.950000, BER = 0.000000, FER = 0.000000, CW = 119, ErrorFrames = 0
EB/N0 = 0.950000, BER = 0.000000, FER = 0.000000, CW = 120, ErrorFrames = 0
EB/N0 = 0.950000, BER = 0.000000, FER = 0.000000, CW = 121, ErrorFrames = 0
EB/N0 = 0.950000, BER = 0.000000, FER = 0.000000, CW = 122, ErrorFrames = 0
EB/N0 = 0.950000, BER = 0.000000, FER = 0.000000, CW = 123, ErrorFrames = 0
EB/N0 = 0.950000, BER = 0.000000, FER = 0.000000, CW = 124, ErrorFrames = 0
EB/N0 = 0.950000, BER = 0.000000, FER = 0.000000, CW = 125, ErrorFrames = 0
EB/N0 = 0.950000, BER = 0.000000, FER = 0.000000, CW = 126, ErrorFrames = 0
EB/N0 = 0.950000, BER = 0.000000, FER = 0.000000, CW = 127, ErrorFrames = 0
EB/N0 = 0.950000, BER = 0.000000, FER = 0.000000, CW = 128, ErrorFrames = 0
EB/N0 = 0.950000, BER = 0.000000, FER = 0.000000, CW = 129, ErrorFrames = 0
EB/N0 = 0.950000, BER = 0.000000, FER = 0.000000, CW = 130, ErrorFrames = 0
EB/N0 = 0.950000, BER = 0.000000, FER = 0.000000, CW = 131, ErrorFrames = 0
EB/N0 = 0.950000, BER = 0.000000, FER = 0.000000, CW = 132, ErrorFrames = 0
EB/N0 = 0.950000, BER = 0.000000, FER = 0.000000, CW = 133, ErrorFrames = 0
EB/N0 = 0.950000, BER = 0.000000, FER = 0.000000, CW = 134, ErrorFrames = 0
EB/N0 = 0.950000, BER = 0.000000, FER = 0.000000, CW = 135, ErrorFrames = 0
EB/N0 = 0.950000, BER = 0.000000, FER = 0.000000, CW = 136, ErrorFrames = 0
EB/N0 = 0.950000, BER = 0.000000, FER = 0.000000, CW = 137, ErrorFrames = 0
EB/N0 = 0.950000, BER = 0.000000, FER = 0.000000, CW = 138, ErrorFrames = 0
EB/N0 = 0.950000, BER = 0.000000, FER = 0.000000, CW = 139, ErrorFrames = 0
EB/N0 = 0.950000, BER = 0.000000, FER = 0.000000, CW = 140, ErrorFrames = 0
EB/N0 = 0.950000, BER = 0.000000, FER = 0.000000, CW = 141, ErrorFrames = 0
EB/N0 = 0.950000, BER = 0.000000, FER = 0.000000, CW = 142, ErrorFrames = 0
EB/N0 = 0.950000, BER = 0.000000, FER = 0.000000, CW = 143, ErrorFrames = 0
EB/N0 = 0.950000, BER = 0.000000, FER = 0.000000, CW = 144, ErrorFrames = 0
EB/N0 = 0.950000, BER = 0.000000, FER = 0.000000, CW = 145, ErrorFrames = 0
EB/N0 = 0.950000, BER = 0.000000, FER = 0.000000, CW = 146, ErrorFrames = 0
EB/N0 = 0.950000, BER = 0.000000, FER = 0.000000, CW = 147, ErrorFrames = 0
EB/N0 = 0.950000, BER = 0.000000, FER = 0.000000, CW = 148, ErrorFrames = 0
EB/N0 = 0.950000, BER = 0.000000, FER = 0.000000, CW = 149, ErrorFrames = 0
EB/N0 = 0.950000, BER = 0.000000, FER = 0.000000, CW = 150, ErrorFrames = 0
EB/N0 = 0.950000, BER = 0.000000, FER = 0.000000, CW = 151, ErrorFrames = 0
EB/N0 = 0.950000, BER = 0.000000, FER = 0.000000, CW = 152, ErrorFrames = 0
EB/N0 = 0.950000, BER = 0.000000, FER = 0.000000, CW = 153, ErrorFrames = 0
EB/N0 = 0.950000, BER = 0.000000, FER = 0.000000, CW = 154, ErrorFrames = 0
EB/N0 = 0.950000, BER = 0.000000, FER = 0.000000, CW = 155, ErrorFrames = 0
EB/N0 = 0.950000, BER = 0.000000, FER = 0.000000, CW = 156, ErrorFrames = 0
EB/N0 = 0.950000, BER = 0.000000, FER = 0.000000, CW = 157, ErrorFrames = 0
EB/N0 = 0.950000, BER = 0.000000, FER = 0.000000, CW = 158, ErrorFrames = 0
EB/N0 = 0.950000, BER = 0.000000, FER = 0.000000, CW = 159, ErrorFrames = 0
EB/N0 = 0.950000, BER = 0.000000, FER = 0.000000, CW = 160, ErrorFrames = 0
EB/N0 = 0.950000, BER = 0.000000, FER = 0.000000, CW = 161, ErrorFrames = 0
EB/N0 = 0.950000, BER = 0.000000, FER = 0.000000, CW = 162, ErrorFrames = 0
